M,N,K,threads,runs,openblas_median_gflops,week2_median_gflops,ratio_week2_over_openblas,winner
256,256,256,8,5,46.9450,151.4800,3.2268,Week2
256,256,256,16,5,7.3880,183.7600,24.8728,Week2
512,512,512,8,5,35.2455,162.2200,4.6026,Week2
512,512,512,16,5,29.2927,239.4100,8.1730,Week2
1024,1024,1024,8,5,209.9774,192.6100,0.9173,OpenBLAS
1024,1024,1024,16,5,216.2510,277.6900,1.2841,Week2
