M,N,K,threads,runs,openblas_median_gflops,week2_median_gflops,ratio_week2_over_openblas,winner
256,256,256,8,30,8.4279,146.2800,17.3566,Week2
256,256,256,16,30,6.1886,184.9800,29.8904,Week2
512,512,512,8,30,30.6519,173.1800,5.6499,Week2
512,512,512,16,30,32.3636,243.0550,7.5101,Week2
1024,1024,1024,8,30,155.9487,175.0500,1.1225,Week2
1024,1024,1024,16,30,180.0698,278.1250,1.5445,Week2
